Stage,Topic 0,Topic 1,Topic 2,Topic 3
Draft,0.00040172741349509434,0.00040172741349509434,0.9987752237668687,0.0004213214061412878
Refined,0.0002451478626023812,0.0002451478626023812,0.999249942019078,0.0002597622557172257
Edited,0.00037472870127568065,0.00037472870127568065,0.0003952585751305487,0.998855284022318
Final,0.0003923115408923913,0.0003923115408923913,0.00040978677543107453,0.998805590142784
